uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,geom
26954,,NYCDYCD: 50127,Sheltering Arms Drop In Center,89-74,162nd Street,89-74 162nd Street,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Safe Space NYC, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
73762,,NYSOMH: 109099-7422-631,Comm Access NYC DMH NY/NY I - Avenue D Supported SRO,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Community Access Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73973,,NYSOMH: 224099-6709-650,JBFCS Supp Housing/High Needs Queens - Comm Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Jewish Board of Family & Children's Services,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24057,,,"Island Kids, Inc.",,,P.O. Box 2,New York,Manhattan,1,10044,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,"Multi-Discipline, Non-Perform",,,,,,,,Non-public,"Island Kids, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
75946,,NYCHHS: 20150000638,Volunteers Of America Greater New York Inc,,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Developmental Disabilities Program Grant Mental Health,,,,,,,,Non-public,Volunteers Of America Greater New York Inc,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
16890,,,Salvador Escobar,191,West Broadway,191 West Broadway,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Salvador Escobar,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000070842211AB6F52C0225AE234DA4F4440
11361,,NYCDYCD: 25016,Baruch Cc,605,FDR Dr,605 FDR Dr,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Cornerstone Community Center Program,,,,,,,,Non-public,"Grand Street Settlement, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
49937,,NYCHHS: CT104020179750092,Urban Science Academy,,,Teller Avenue Educational Campus,Bronx,Bronx,,10456,,,,,,,,,,,Health and Human Services,Human Services,Community Centers and Community School Programs,Community Schools - DOE,,,,,,,,Non-public,Center For Supportive Schools,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75565,,"NYCHHS: CT126020151402553,CT126020151402554,CT126020151402556,CT126020151402673,CT126020160003707,CT126020160003709,CT126020161400691,CT126020161400934,CT126020161402858,CT126020161402986,CT126020161403107,CT126020161403153,CT126020161409829,CT126020161425628","The Child Center Of NY, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"The Child Center Of NY, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
74992,,"NYCHHS: 20150001443,20150001561",Comunilife Inc,,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Behavioral Health Care Coordination Service Dollars Mental Health,,,,,,,,Non-public,Comunilife Inc,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
73857,,NYSOMH: 732099-7973-001,St. Francis Residence I-II-III,,,Different Sites,New York,Manhattan,1,10010,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Support Mental Health,,,,,,,,Non-public,St. Francis Friends of the Poor,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
47773,,NYCHHS: CT106820160001156,"Sheltering Arms Children And Family Services, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Services and Welfare,"Preventative Care, Evaluation Services, and Respite",General Preventive Care,,,,,,,,Non-public,"Sheltering Arms Children And Family Services, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
16504,,,Sky Materials Corp.,,,P.O. Box 302,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Sky Materials Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000006CEF6E9B483052C0F03718CBB2764440
24356,,,Anderson Express Inc.,359,Watsessing Avenue,359 Watsessing Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Anderson Express Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000002CB3C66DBE8B52C08085AC2A81644440
17091,,,The Brickman Group Ltd. LLC,,,P.O. Box 933,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,The Brickman Group Ltd. LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000B62E1DEB706452C0F13D857D29604440
24369,,NYCDYCD: 50740,"Rochdale Village Social Services, Inc. IIi",169-65,137TH Avenue,169-65 137TH Avenue,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Rochdale Village Social Services, Inc",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
16841,,,Hope Demo,427,Laurence Pkwy,427 Laurence Pkwy,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Hope Demo,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000B4C6A775E38F52C040158AF8DC394440
4676,,,"Liotta & Sons, Inc",3966,Long Beach Road,3966 Long Beach Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Liotta & Sons, Inc",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000007C4F4778296952C04C244121C84E4440
59817,,NYCHHS: 3897,Legal Services NYC-Bronx,349,East 149th Sreet,349 East 149th Sreet,Bronx,Bronx,,10451,,,,,,,,,,,Health and Human Services,Human Services,Legal and Intervention Services,Legal Services Initiatives,,,,,,,,Non-public,Legal Services NYC,Non-public,NYCHRA/DSS: City,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-07-26,hhs_facilities_proposals,,
15940,,,Pjf Trucking LLC,888,Westfield Avenue Apt 3c,888 Westfield Avenue Apt 3c,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Pjf Trucking LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000080321AE9AB8F52C090AE671D04554440
73727,,NYSOMH: 394099-6252-640,SJMC Supported Housing/Brooklyn MRT SHousing - Comm Svcs,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,St. Joseph's Medical Center,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
71076,,NYCHHS: 20150000968,"Stanley M Isaacs Neighborhood Center, Inc.",,,,,,,,,,,,,,,,,,Health and Human Services,Human Services,Senior Services,Naturally Occurring Retirement Community Senior Services,,,,,,,,Non-public,"Stanley M Isaacs Neighborhood Center, Inc.",Non-public,NYCDFTA: City,NYC Department for the Aging,NYCDFTA,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
73605,,NYSOMH: 645099-7964-005,Schermerhorn,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Center for Urban Community Services Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24235,,NYCDYCD: 30770,Park East High School,230,East 105th Street,230 East 105th Street,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Union Settlement Association,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
24362,,,Velasquez Landscaping Inc.,3,Commerce Blvd.,3 Commerce Blvd.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Velasquez Landscaping Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000701047D47D5A52C0C848ADC3FD594440
75901,,NYCHHS: 20150001172,Association To Benefit Children Inc,,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Outreach Mental Health,,,,,,,,Non-public,Association To Benefit Children Inc,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
21857,,NYCDYCD: 50313,Cunningham Sports Center,196-00,Union Turnpike,196-00 Union Turnpike,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,New York Junior Tennis League,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
7465,,,"Brooklyn Art Incubator, Inc.",,,P. O. Box 20648,Brooklyn,Brooklyn,3,11202,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Visual Arts,,,,,,,,Non-public,"Brooklyn Art Incubator, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
20791,,NYCDYCD: 29947,Jhs 189 Daniel Carter Beard (Q189),144-80,BARCLAY AVENUE,144-80 BARCLAY AVENUE,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Beacon Community Center Program,,,,,,,,Non-public,YMCA of Greater New York/Corporate,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
7466,,,Songs of Love Foundation,,,P.O. Box 750809,Forest Hills,Queens,4,11375,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Music,,,,,,,,Non-public,Songs of Love Foundation,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
24056,,,"Friends of Pasos: The Museum and Center for Peacebuilding, Inc.",,,P.O. Box 20324,New York,Manhattan,1,10023,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Museums,Museum,,,,,,,,Non-public,"Friends of Pasos: The Museum and Center for Peacebuilding, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73967,,NYSOMH: 209099-7720-664,ICL Supp HSing/Adult Home SH Brooklyn Queens-Comm Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Institute for Community Living Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
11258,,,"Community Mediation Services, Inc.",,,21-Aug Bay 25 Street,,Queens,4,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Community Mediation Services, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: COMPASS Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_compass,,
73501,,NYSOMH: 999999-8822-630,Odyssey House Supported Housing/Bronx - NY/NY III-Comm. Svcs,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Odyssey House Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
3017,,,Trustees of Columbia University in the City of New York,,,Miller Theatre At Columbia University,New York,Manhattan,1,10027,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Music,,,,,,,,Non-public,Trustees of Columbia University in the City of New York,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
75115,,NYCHHS: CT106820171403588,All My Children Daycare 2,169-07,Jewel Ave,169-07 Jewel Ave,College Point,Queens,,11356,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,All My Children Daycare And Nursery School,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75740,,NYCHHS: 20151405554,The Noel Pointer Foundation Inc.,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,The Noel Pointer Foundation Inc.,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
4634,,,D.S.A. Services Inc.,800,East Elizabeth Avenue,800 East Elizabeth Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,D.S.A. Services Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000A8A86A1CA98F52C080C59DCCA8514440
16259,,,Eastern Rental Corp.,109,State St.,109 State St.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Eastern Rental Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000AEE210A5C66352C04F98D4CD24614440
60509,,NYCHHS: 2797,Faber Park Field House,,,Richmond Terrace And Faber Street,Staten Island,Staten Island,,10301,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,City Parks Foundation,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-07-26,hhs_facilities_proposals,,
23005,,,Coney Island Job Center,3050,W.,3050 W. 21st St.,Brooklyn,Brooklyn,3,11224,,,,,,,,,,,Health and Human Services,Human Services,Workforce Development,Job Centers,,,,,,,,Public,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS: City,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS,NYCHRA/DSS: HRA Locations,NYCHRA/DSS: https://www1.nyc.gov/site/hra/locations/locations.page,NYCHRA/DSS: 2017-02-27,hra_facilities_centers,,
73755,,NYSOMH: 645099-7964-635,CUCS NYCDMH NY/NY I Uptown Supported SROs,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Center for Urban Community Services Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
75668,,"NYCHHS: 20151403173,20151403174","Community Association Of Progressive Dominicians, Inc",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Community Association Of Progressive Dominicians, Inc",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
73541,,NYSOMH: 482099-6743-430,Hilbert W. Ehrlich Residential Program,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Univ. Consultation & Tx Ctr for MH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
6669,,,Elite Waste Services LLC,43,West 39th Street,43 West 39th Street,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Elite Waste Services LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000D8158E05058752C0F89F053AA9564440
73201,,NYSOMH: 027099-7062-633,ACMH - SH/PC Long Stay New York - Comm. Svcs,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,ACMH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73859,,NYSOMH: 394099-6252-644,SJMC Supported Housing/Manhattan MRT SH - Comm Svcs,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,St. Joseph's Medical Center,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
3802,,NYCDYCD: 50740,Building With Art,169-65,137TH Avenue,169-65 137TH Avenue,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Citizens Against Recidivism, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
75002,,"NYCHHS: CT126020161403526,CT126020161403784,CT126020161404029,CT126020161404186","Children's Arts  & Science Workshops, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Children's Arts  & Science Workshops, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75336,,NYCHHS: CT106820171403655,The Children's Aid Society,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,The Children's Aid Society,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
11579,,NYCDYCD: 28903,PS 102,55-24,Van Horn Street,55-24 Van Horn Street,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Greater Ridgewood Youth Council, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
24431,,,"Mud Bone Collective, Inc.",,,P.O. Box 21167,Brooklyn,Brooklyn,3,11202,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,"Mud Bone Collective, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
